DATETIME,Actual_Temperature,Predicted_Temperature,Actual_Humidity,Predicted_Humidity
2023-11-26 15:14:27,32.2,,71.9,
2023-11-26 15:15:27,32.2,,71.5,
2023-11-26 15:16:27,32.4,,71.2,
2023-11-26 15:17:27,32.4,,71.6,
2023-11-26 15:18:27,32.3,,71.3,
2023-11-26 15:19:27,32.4,,71.3,
2023-11-26 15:20:27,32.4,,71.1,
2023-11-26 15:21:27,32.4,,71.1,
2023-11-26 15:22:27,32.4,,71.2,
2023-11-26 15:23:27,32.4,,71.2,
2023-11-26 15:24:27,32.3,,71.3,
2023-11-26 15:25:28,32.3,,71.4,
2023-11-26 15:26:28,32.2,,71.1,
2023-11-26 15:27:28,32.2,,71.2,
2023-11-26 15:28:28,32.3,,70.8,
2023-11-26 15:29:28,32.2,,71.1,
2023-11-26 15:30:28,32.2,,71.0,
2023-11-26 15:31:28,32.2,,70.8,
2023-11-26 15:32:28,32.1,,71.2,
2023-11-26 15:33:28,32.2,,70.9,
2023-11-26 15:34:28,32.2,,71.0,
2023-11-26 15:35:28,32.1,,71.0,
2023-11-26 15:36:28,32.2,,71.3,
2023-11-26 15:37:28,32.2,,71.1,
2023-11-26 15:38:28,32.2,,70.7,
2023-11-26 15:39:28,32.2,,70.8,
2023-11-26 15:40:28,32.2,,70.8,
2023-11-26 15:41:28,32.2,,70.8,
2023-11-26 15:42:28,32.2,,70.8,
2023-11-26 15:43:28,32.2,,70.8,
2023-11-26 15:44:28,32.2,,71.2,
2023-11-26 15:45:28,32.1,,71.1,
2023-11-26 15:46:28,32.1,,71.2,
2023-11-26 15:47:28,32.1,,71.3,
2023-11-26 15:48:28,32.0,,71.7,
2023-11-26 15:49:28,32.1,,71.7,
2023-11-26 15:50:28,32.0,,71.8,
2023-11-26 15:51:28,32.0,,72.1,
2023-11-26 15:52:28,32.0,,72.6,
2023-11-26 15:53:28,32.0,,72.6,
2023-11-26 15:54:28,32.0,,72.1,
2023-11-26 15:55:28,32.0,,72.6,
2023-11-26 15:56:28,32.0,,72.6,
2023-11-26 15:57:28,32.0,,72.8,
2023-11-26 15:58:28,32.0,,72.5,
2023-11-26 15:59:28,32.1,,72.5,
2023-11-26 16:00:28,32.2,,72.5,
2023-11-26 16:01:28,32.2,,72.3,
2023-11-26 16:02:28,32.2,,71.7,
2023-11-26 16:03:28,32.2,,72.2,
2023-11-26 16:04:28,32.2,,72.0,
2023-11-26 16:05:28,32.2,,71.8,
2023-11-26 16:06:28,32.2,,71.7,
2023-11-26 16:07:28,32.1,,72.0,
2023-11-26 16:08:28,32.2,,71.9,
2023-11-26 16:09:28,32.1,,72.3,
2023-11-26 16:10:28,32.1,,72.2,
2023-11-26 16:11:28,32.1,,72.9,
2023-11-26 16:12:28,32.1,,72.8,
2023-11-26 16:13:28,32.2,,72.9,
2023-11-26 16:14:28,32.0,,72.8,
2023-11-26 16:15:28,32.1,,72.8,
2023-11-26 16:16:28,32.0,,73.2,
2023-11-26 16:17:28,31.9,,73.7,
2023-11-26 16:18:28,32.0,,73.6,
2023-11-26 16:19:28,32.1,,73.7,
2023-11-26 16:20:28,32.0,,73.9,
2023-11-26 16:21:28,32.1,,73.7,
2023-11-26 16:22:28,32.0,,74.0,
2023-11-26 16:23:28,31.9,,74.2,
2023-11-26 16:24:28,32.0,,74.2,
2023-11-26 16:25:28,32.1,,74.5,
2023-11-26 16:26:28,32.1,,74.3,
2023-11-26 16:27:28,32.2,,74.4,
2023-11-26 16:28:28,32.6,,73.7,
2023-11-26 16:29:28,32.9,,72.7,
2023-11-26 16:30:28,33.0,,72.5,
2023-11-26 16:31:28,33.2,,71.7,
2023-11-26 16:32:28,33.2,,71.8,
2023-11-26 16:33:28,33.2,,71.7,
2023-11-26 16:34:28,33.1,,72.1,
2023-11-26 16:35:28,33.2,,71.7,
2023-11-26 16:36:28,33.2,,71.5,
2023-11-26 16:37:28,33.2,,71.5,
2023-11-26 16:38:28,33.2,,72.0,
2023-11-26 16:39:28,33.2,,71.8,
2023-11-26 16:40:28,33.3,,71.5,
2023-11-26 16:41:28,33.3,,71.4,
2023-11-26 16:42:28,33.3,,70.9,
2023-11-26 16:43:28,33.4,,71.7,
2023-11-26 16:44:28,33.4,,71.7,
2023-11-26 16:45:28,33.4,,71.1,
2023-11-26 16:46:28,33.2,,71.5,
2023-11-26 16:47:28,33.1,,71.8,
2023-11-26 16:48:28,33.0,,71.9,
2023-11-26 16:49:28,33.1,,72.0,
2023-11-26 16:50:28,33.0,,72.0,
2023-11-26 16:51:28,33.0,,72.1,
2023-11-26 16:52:28,33.0,,72.1,
2023-11-26 16:53:28,33.0,,72.5,
2023-11-26 16:54:28,33.1,,71.9,
2023-11-26 16:55:28,33.1,,71.9,
2023-11-26 16:56:28,33.0,,72.0,
2023-11-26 16:57:28,33.1,,72.4,
2023-11-26 16:58:28,33.1,,72.2,
2023-11-26 16:59:28,33.1,,71.8,
2023-11-26 17:00:28,33.1,,72.0,
2023-11-26 17:01:28,33.1,,72.6,
2023-11-26 17:02:28,33.1,,72.2,
